run,kind,num_steps,reward,success,final_distance,best_distance,collision,obstacle_collision,avg_episode_length,training_sps
PPO baseline,best,23592960,79.98713684082031,0.25,2.2582037448883057,1.8985116481781006,18.234375,3.25,924.75,4099.102668888612
PPO baseline,final,24903680,30.238170623779297,0.171875,2.407670021057129,2.0464067459106445,12.546875,4.84375,1077.296875,4095.848574323873
"PPO + goal-hover (Mod 1, 2M)",best,15728640,271.5291748046875,0.359375,1.5391920804977417,1.3199788331985474,15.640625,2.984375,566.40625,3998.9634759044548
"PPO + goal-hover (Mod 1, 2M)",final,24903680,227.540771484375,0.3125,1.6464478969573975,1.3446357250213623,8.109375,4.125,630.21875,3976.776322457483
"PPO + goal-hover (Mod 1, 5M)",best,31457280,352.25421142578125,0.4375,1.250044584274292,1.1008689403533936,4.890625,4.140625,460.21875,3954.0594453907943
"PPO + goal-hover (Mod 1, 5M)",final,38010880,240.30712890625,0.3125,1.4091854095458984,1.3097083568572998,7.640625,6.203125,462.859375,3915.2573684822
SAC baseline,best,138240,20.698627471923828,0.1875,2.7277474403381348,2.0424489974975586,56.0625,3.59375,648.4375,2927.1789175956783
SAC baseline,final,300800,-79.64237213134766,0.0625,3.5112643241882324,2.305976390838623,17.6875,8.625,600.8125,2946.5359991420887
SAC + goal-hover (Mod 1),best,478208,271.4027099609375,0.34375,1.3744412660598755,1.2016873359680176,5.796875,3.765625,568.453125,3888.741090459629
SAC + goal-hover (Mod 1),final,1000448,179.0687255859375,0.265625,1.84064519405365,1.4203314781188965,39.0625,3.421875,548.203125,3850.4696801219643
SAC + goal-hover stable (Mod 1),best,687104,259.9891052246094,0.34375,1.6354637145996094,1.3020024299621582,10.40625,3.609375,623.625,3500.2215984324794
SAC + goal-hover stable (Mod 1),final,1000448,255.54397583007812,0.34375,1.662881851196289,1.3295049667358398,20.3125,4.4375,540.265625,3983.139054535298
